,XGBoost Enhanced_permutation,XGBoost Enhanced_builtin,XGBoost Enhanced_shap,FT-Transformer Enhanced_permutation,FT-Transformer Enhanced_shap,SAINT Enhanced_permutation,SAINT Enhanced_shap
minimum_nights_div_number_of_reviews,-0.0020083448024897296,0.0035172175,0.00507769,0.021928671409928022,0.005405970357024332,0.005872975517270291,0.0
latitude_binned,2.4316599068308102e-05,0.022228159,0.0014195039,0.00025895156885711516,0.010004552809749816,0.25155298792768177,0.014256516486705033
longitude_binned,0.005610378668906214,0.16874528,0.037097614,0.019748632677599666,0.04860785029066815,-0.9064636632130952,0.09027800677095467
minimum_nights_binned,-0.0032515956461207267,0.0155323325,0.007160279,0.008324122797398123,0.012245168641824287,0.280314189909479,0.013010738121292657
name,0.001572966211059681,0.0040456443,0.0053376765,0.0011285156774888945,0.019780990300820783,0.21058593176892249,0.011075133012642858
host_name,-0.0007522986239236839,0.0029851503,0.0013737909,-9.470533605233259e-05,0.0,0.09702488304582288,0.0
neighbourhood_group,9.025845296349709e-05,0.008349765,0.0003134957,-0.00011964655906358441,0.0,0.20738244161817848,0.010856900158712938
neighbourhood,0.0007601773165498235,0.004890183,0.0024478985,-0.0026316351771842844,0.0003899714163797493,0.2883395029796923,0.00365731896823116
latitude,0.008765742628088859,0.020871991,0.014983895,0.010496306913756762,0.016090311815576287,0.6925992427140851,0.013333878847286021
name host_name,0.003243034096145785,0.0030561774,0.0074593755,0.0013206149326843789,0.0,0.10625672968404432,0.0033448820485198127
name neighbourhood_group,0.002417430443626769,0.0035552676,0.006871381,-0.001147350803317693,0.0005195099041545171,0.17976520557453668,0.0047444536597392945
name neighbourhood,-0.0008873021407014083,0.0030207168,0.0040506194,0.00035231341829939473,0.0,0.16743001739930405,0.004318356888271936
name latitude,0.00242920076857973,0.0030261874,0.0046861717,0.002229327855142839,0.0004962896187290342,0.06830532361470917,0.002201679126253209
host_name neighbourhood_group,0.0011810485433951365,0.0031141322,0.002318313,-0.0003058073598945005,0.0,0.15715980121478065,0.0
host_name neighbourhood,0.0008177998605859154,0.0030430867,0.0047409046,-0.0015788544354116412,0.0,0.09700175332559272,0.0
host_name latitude,0.0011069014101354035,0.0030648618,0.0051135914,0.0010800550482477887,0.001809577655613993,0.07048527604694896,0.0028380415968495575
neighbourhood_group neighbourhood,0.0044738958596638135,0.0076951347,0.011378176,0.003089795723167136,0.013354021768579815,0.17392095527765072,0.0
neighbourhood_group latitude,0.009138531884920286,0.011667492,0.015912317,0.0019188236661275163,0.0026422661762793473,0.04001966006998986,0.024775394527541652
neighbourhood latitude,-0.000933934706667309,0.0039826,0.0052342387,-0.002006522744060328,0.0003788512238396974,0.06864210057227087,0.004460191997544918
