train_loss,val_loss,val_r2,learning_rates
8904161.256865373,231203.25250417367,-672451.7090317828,0.0001
4646091.779944266,106067.18075912757,-308494.497985936,0.0001
4614926.320057333,429183.9299352612,-1248276.8461315846,0.0001
2353876.6363456333,1208896.0583405034,-3516063.106523807,0.0001
4195412.680284429,170406.9048166726,-495626.0489221486,0.0001
15451700.087329224,243455.2593370663,-708086.5805540904,0.0001
2946686.2959532645,5920504.528855084,-17219736.934765637,0.0001
7205400.032926781,325723.2554284615,-947362.3645484446,0.0001
22877471.314513672,1466123.8253652153,-4264207.860941128,0.0001
2738442.257546677,199814.33521380188,-581157.3100726252,0.0001
3091604.0791912456,167434.89498789675,-486981.99033296533,0.0001
1040877.7820313266,92195.9332934589,-268150.0974695054,0.0001
928825.550180446,46789.38360917187,-136085.52790199872,0.0001
536763.5267983611,151486.18104892265,-440595.2884022977,0.0001
4491276.478395544,188683.5546079015,-548783.5183328583,0.0001
5929688.182805599,946019.0754690188,-2751487.5811830126,0.0001
1335119.132727401,1866782.8230731352,-5429521.325443315,0.0001
2980422.7224896643,2468181.4789880835,-7178684.1896830015,0.0001
5158485.670221074,261139.8301402682,-759522.0266284944,0.0001
12271646.826204741,235640.51308962208,-685357.4277424763,0.0001
1612992.7134620817,309780.32122409594,-900992.4579404561,0.0001
1786086.1844702235,55692.97957787225,-161981.5574409793,0.0001
2011356.9605673691,28713.285626649187,-83511.34699816216,0.0001
453018.1977340797,238204.9575550447,-692816.0983693777,0.0001
2732229.538807356,6260582.674617985,-18208851.84930275,0.0001
4166336.4222689695,182077.40949412546,-529569.6212962848,0.0001
1585969.5783607194,55467.82934817668,-161326.7165903519,0.0001
2049952.3286465635,162847.99441149094,-473641.0197397861,0.0001
1285346.5975569265,19710.4069572874,-57326.55494242841,0.0001
6484112.674075248,21554.433669657697,-62689.88918085261,0.0001
432100.1774633657,1879286.7805855717,-5465888.862563659,0.0001
1378897.0203245387,84445.20968081926,-245607.18357179192,0.0001
4872159.277502214,12493.55596394467,-36336.402561262024,0.0001
4036332.1261311774,769264.4049612205,-2237398.083611496,0.0001
1593201.8953293972,89788.24896134113,-261147.3653149524,0.0001
8749251.526981056,1599722.0110465128,-4652776.99734065,0.0001
2219129.6211268017,65143.896214225715,-189469.47518331907,0.0001
509143.70082275674,110978.74777702588,-322779.74375958584,0.0001
1210490.4304604332,596416.4191150876,-1734671.1010469045,0.0001
1090543.4865070842,368028.1201946792,-1070405.6997529499,0.0001
872050.8543853739,1253547.1510556133,-3645930.564585437,0.0001
415669.1274944519,155598.28348168533,-452555.3113617839,0.0001
459555.7051790563,21419.77689826827,-62298.24071951493,0.0001
39544782.32749155,55748.362051003794,-162142.642526161,5e-05
9692991.373806778,3671.2715252783864,-10676.862941359152,5e-05
95194.99027182105,13105.608005578364,-38116.55020724544,5e-05
1479626.2827967035,3408.7540183084393,-9913.332526181697,5e-05
79776.26409006861,28508.84680710312,-82916.7397777003,5e-05
93728.5434266942,26605.140628681864,-77379.82691203228,5e-05
59723.73804258781,64330.98607910481,-187105.12652176656,5e-05
544981.4916456902,87697.71712154959,-255067.08993127054,5e-05
103548.22621832539,28121.05076945075,-81788.8374122448,5e-05
474395.8615563562,202475.27773159553,-588896.662081002,5e-05
44995.134150417114,97478.95787066543,-283515.73215653555,5e-05
109973.60795488975,11916.483911314452,-34657.994744797266,5e-05
7780159.147123974,6135.205446331924,-17843.192913801042,5e-05
96108.64449079294,7177.6119194818375,-20875.024044001573,5e-05
3057310.9874759275,463843.5653099737,-1349084.1290934652,2.5e-05
301971.3761417978,29156.348018307723,-84799.99285829134,2.5e-05
2629.840573193672,5028.126252655604,-14623.261205713568,2.5e-05
306975.6599744642,1667.3972988187186,-4848.6107546222975,2.5e-05
52392.736454067715,2035.3782988015237,-5918.880563587225,2.5e-05
7703.003649473502,6059.489926374041,-17622.97485697767,2.5e-05
3016.9646999990905,1089.9546051850803,-3169.1238968904736,2.5e-05
2493.597780303503,2173.089415107167,-6319.412119638852,2.5e-05
